index;genre;count;start_date;end_date
0;mellow_gold;108;1958-01-01;1963-01-01
1;soft_rock;34;1958-01-01;1963-01-01
2;adult_standards;914;1958-01-01;1963-01-01
3;brill_building_pop;940;1958-01-01;1963-01-01
4;rock;32;1958-01-01;1963-01-01
5;dance_pop;21;1958-01-01;1963-01-01
6;pop;1;1958-01-01;1963-01-01
7;soul;413;1958-01-01;1963-01-01
8;motown;266;1958-01-01;1963-01-01
9;pop_rap;1;1958-01-01;1963-01-01
10;rap;9;1958-01-01;1963-01-01
11;folk_rock;125;1958-01-01;1963-01-01
12;album_rock;2;1958-01-01;1963-01-01
13;classic_rock;20;1958-01-01;1963-01-01
14;quiet_storm;74;1958-01-01;1963-01-01
15;hip_hop;6;1958-01-01;1963-01-01
16;bubblegum_pop;274;1958-01-01;1963-01-01
17;rock-and-roll;852;1958-01-01;1963-01-01
18;funk;53;1958-01-01;1963-01-01
19;classic_soul;159;1958-01-01;1963-01-01
20;urban_contemporary;3;1958-01-01;1963-01-01
21;country;28;1958-01-01;1963-01-01
22;r&b;1;1958-01-01;1963-01-01
23;disco;17;1958-01-01;1963-01-01
24;post-teen_pop;3;1958-01-01;1963-01-01
25;contemporary_country;1;1958-01-01;1963-01-01
26;country_rock;57;1958-01-01;1963-01-01
27;southern_soul;155;1958-01-01;1963-01-01
28;trap;2;1958-01-01;1963-01-01
29;folk;39;1958-01-01;1963-01-01
30;southern_hip_hop;6;1958-01-01;1963-01-01
31;lounge;422;1958-01-01;1963-01-01
32;rhythm_and_blues;461;1958-01-01;1963-01-01
33;rockabilly;594;1958-01-01;1963-01-01
34;art_rock;1;1958-01-01;1963-01-01
35;new_jack_swing;2;1958-01-01;1963-01-01
36;merseybeat;125;1958-01-01;1963-01-01
37;classic_uk_pop;20;1958-01-01;1963-01-01
38;easy_listening;296;1958-01-01;1963-01-01
39;doo-wop;450;1958-01-01;1963-01-01
40;psychedelic_rock;4;1958-01-01;1963-01-01
41;roots_rock;1;1958-01-01;1963-01-01
42;blues_rock;29;1958-01-01;1963-01-01
