index;genre;count;start_date;end_date
0;mellow_gold;759;1983-01-01;1988-01-01
1;soft_rock;841;1983-01-01;1988-01-01
2;adult_standards;182;1983-01-01;1988-01-01
3;brill_building_pop;32;1983-01-01;1988-01-01
4;rock;605;1983-01-01;1988-01-01
5;dance_pop;122;1983-01-01;1988-01-01
6;pop;56;1983-01-01;1988-01-01
7;soul;169;1983-01-01;1988-01-01
8;motown;199;1983-01-01;1988-01-01
9;pop_rap;4;1983-01-01;1988-01-01
10;rap;14;1983-01-01;1988-01-01
11;folk_rock;190;1983-01-01;1988-01-01
12;album_rock;596;1983-01-01;1988-01-01
13;classic_rock;400;1983-01-01;1988-01-01
14;quiet_storm;279;1983-01-01;1988-01-01
15;hip_hop;15;1983-01-01;1988-01-01
16;bubblegum_pop;42;1983-01-01;1988-01-01
17;rock-and-roll;16;1983-01-01;1988-01-01
18;funk;213;1983-01-01;1988-01-01
19;classic_soul;39;1983-01-01;1988-01-01
20;urban_contemporary;154;1983-01-01;1988-01-01
21;country;25;1983-01-01;1988-01-01
22;r&b;77;1983-01-01;1988-01-01
23;disco;267;1983-01-01;1988-01-01
24;post-teen_pop;4;1983-01-01;1988-01-01
25;new_wave_pop;608;1983-01-01;1988-01-01
26;contemporary_country;1;1983-01-01;1988-01-01
27;country_rock;74;1983-01-01;1988-01-01
28;southern_soul;23;1983-01-01;1988-01-01
29;country_road;4;1983-01-01;1988-01-01
30;trap;1;1983-01-01;1988-01-01
31;pop_rock;111;1983-01-01;1988-01-01
32;folk;73;1983-01-01;1988-01-01
33;southern_hip_hop;4;1983-01-01;1988-01-01
34;hard_rock;232;1983-01-01;1988-01-01
35;lounge;24;1983-01-01;1988-01-01
36;hip_pop;11;1983-01-01;1988-01-01
37;rockabilly;8;1983-01-01;1988-01-01
38;art_rock;194;1983-01-01;1988-01-01
39;dance_rock;463;1983-01-01;1988-01-01
40;new_jack_swing;129;1983-01-01;1988-01-01
41;merseybeat;2;1983-01-01;1988-01-01
42;classic_uk_pop;56;1983-01-01;1988-01-01
43;easy_listening;10;1983-01-01;1988-01-01
44;psychedelic_rock;43;1983-01-01;1988-01-01
45;gangster_rap;2;1983-01-01;1988-01-01
46;roots_rock;70;1983-01-01;1988-01-01
47;blues_rock;50;1983-01-01;1988-01-01
